sample_id,domain,split,family,layout,condition,raw_image,image,ground_truth,legacy_reference,prompt,metadata,width_px,height_px,image_sha256,ground_truth_sha256,annotation_status,notes
sheet_F2_L1_C5,synthetic,train,F2,L1,C5,,datos/sinteticos/imagenes/sheet_F2_L1_C5_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C5_meta.json,2100,2970,827b70d736a7966e1b76dc1682d8ba086ae20edfdb6122c1f4d71bf9a454ff8d,47d5b60bad5a0df4c3491c741e42349c3b482c3d82f5ee1cb0143cb693f5d1e4,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L1_C6,synthetic,train,F2,L1,C6,,datos/sinteticos/imagenes/sheet_F2_L1_C6_rgb.png,datos/sinteticos/mascaras/sheet_F2_L1_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L1_C6_meta.json,2100,2970,dc7fa03d8a2c3c07a7629393992f366284c75c50731f32b348283a67e2120361,b815175a3914282b94da862b504dfa30d16c724f79b92ea4164e12c664f747ae,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C1,synthetic,train,F2,L2,C1,,datos/sinteticos/imagenes/sheet_F2_L2_C1_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C1_meta.json,2100,2970,ddc76cab0b6fe59344a936328b2a2ae02a4af7e92d5f4fa5a52914237bdcf19b,2cc230f11b99b25b5b25efb69788030591004c091c8df49919ce800c23fc7e0c,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C2,synthetic,train,F2,L2,C2,,datos/sinteticos/imagenes/sheet_F2_L2_C2_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C2_meta.json,2100,2970,01b0386c3f01ee595efb7836e5d5ef3236b347c04be782f428ad6224bc70ed88,2cc230f11b99b25b5b25efb69788030591004c091c8df49919ce800c23fc7e0c,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C3,synthetic,test,F2,L2,C3,,datos/sinteticos/imagenes/sheet_F2_L2_C3_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C3_meta.json,2100,2970,b31923ec34bd11e2ef323ab6e69f19c6651ada9e28fb1069b981f9fe14faed2c,2cc230f11b99b25b5b25efb69788030591004c091c8df49919ce800c23fc7e0c,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C4,synthetic,val,F2,L2,C4,,datos/sinteticos/imagenes/sheet_F2_L2_C4_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C4_meta.json,2100,2970,e421afcd53c412fd29004d37020db9ec7c12d92ab2d9fe7f15d4ba28b3fc9bf5,2cc230f11b99b25b5b25efb69788030591004c091c8df49919ce800c23fc7e0c,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C5,synthetic,train,F2,L2,C5,,datos/sinteticos/imagenes/sheet_F2_L2_C5_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C5_meta.json,2100,2970,acd89f90de46f28d5dd92a86c04d4a4977a92e8a78b8feb8c29f2612fd9f6c26,2cc230f11b99b25b5b25efb69788030591004c091c8df49919ce800c23fc7e0c,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F2_L2_C6,synthetic,train,F2,L2,C6,,datos/sinteticos/imagenes/sheet_F2_L2_C6_rgb.png,datos/sinteticos/mascaras/sheet_F2_L2_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F2_L2_C6_meta.json,2100,2970,7865630645fa7078ccc51dbfb5487365bcc9f3c479a765fc602b4ee1613dc74a,bb23922dc2220de9e34ce2b7dc94fcc982d7c9c6bb1dc392875e333f50bca137,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C1,synthetic,train,F3,L1,C1,,datos/sinteticos/imagenes/sheet_F3_L1_C1_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C1_meta.json,2100,2970,5cd56fdfeeaa4e37f9cd34d7e45d90442f8ec27ea3cf82f817e718907915dae4,94782cc12f24fa7114a5ad68345575fa3833e6402fbfe7030bc9dc8902c355bd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C2,synthetic,train,F3,L1,C2,,datos/sinteticos/imagenes/sheet_F3_L1_C2_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C2_meta.json,2100,2970,8a80ef26f855c47770c4fe69d15d646f4dd7813d3c0cc9fa66961cca7224dc16,94782cc12f24fa7114a5ad68345575fa3833e6402fbfe7030bc9dc8902c355bd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C3,synthetic,train,F3,L1,C3,,datos/sinteticos/imagenes/sheet_F3_L1_C3_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C3_meta.json,2100,2970,c542303b8e8989c215b5a70d0fbc2d7c3f43b1a23bce0fe2f5d2bb6de1a2724b,94782cc12f24fa7114a5ad68345575fa3833e6402fbfe7030bc9dc8902c355bd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C4,synthetic,train,F3,L1,C4,,datos/sinteticos/imagenes/sheet_F3_L1_C4_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C4_meta.json,2100,2970,1ba499e45a88c2f9e336dd44f15e4f5f3516d3671e2cb6c96784e438d654c5af,94782cc12f24fa7114a5ad68345575fa3833e6402fbfe7030bc9dc8902c355bd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C5,synthetic,test,F3,L1,C5,,datos/sinteticos/imagenes/sheet_F3_L1_C5_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C5_meta.json,2100,2970,75eb8c4254d8111bc0ea165e7e3ea46df7d7c242eaeea5c3cc4446c7fe4e93ef,94782cc12f24fa7114a5ad68345575fa3833e6402fbfe7030bc9dc8902c355bd,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L1_C6,synthetic,val,F3,L1,C6,,datos/sinteticos/imagenes/sheet_F3_L1_C6_rgb.png,datos/sinteticos/mascaras/sheet_F3_L1_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L1_C6_meta.json,2100,2970,c632e360405e5d2289b73130555072775a2c04511f3505046ccaafa0247d5d12,2568042cd114e35c1fbf1abc8e7e28310b8d8f7e24227bfb1a72a083f289c0d4,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C1,synthetic,test,F3,L2,C1,,datos/sinteticos/imagenes/sheet_F3_L2_C1_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C1_meta.json,2100,2970,64e49f7836968b5e20d740a5eeab9e614ffc9ddcdde5ab72735584046dae221f,3c3cb07afd7fc6a51b24eeda3538d74d6dccf371305264d0bfd7498966df55d3,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C2,synthetic,train,F3,L2,C2,,datos/sinteticos/imagenes/sheet_F3_L2_C2_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C2_meta.json,2100,2970,53e1f64f9740eb760eb0971bb65b79532f11794180e211e598e55a84b6e9b6cd,3c3cb07afd7fc6a51b24eeda3538d74d6dccf371305264d0bfd7498966df55d3,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C3,synthetic,train,F3,L2,C3,,datos/sinteticos/imagenes/sheet_F3_L2_C3_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C3_meta.json,2100,2970,c34ea420ae9e43e15049a46a3306afbcaaf9444a6db8476cfc251ee1701ae3f6,3c3cb07afd7fc6a51b24eeda3538d74d6dccf371305264d0bfd7498966df55d3,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C4,synthetic,train,F3,L2,C4,,datos/sinteticos/imagenes/sheet_F3_L2_C4_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C4_meta.json,2100,2970,84a5f3ae77165d47d0bdbb0ff98ebb7fabba3bffd7f3134120ceee4b568130b9,3c3cb07afd7fc6a51b24eeda3538d74d6dccf371305264d0bfd7498966df55d3,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C5,synthetic,train,F3,L2,C5,,datos/sinteticos/imagenes/sheet_F3_L2_C5_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C5_meta.json,2100,2970,fd19f89a0f126157a9b4864d6573cca5e2d9928e9cd0440ac7afe09ae15b138b,3c3cb07afd7fc6a51b24eeda3538d74d6dccf371305264d0bfd7498966df55d3,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F3_L2_C6,synthetic,train,F3,L2,C6,,datos/sinteticos/imagenes/sheet_F3_L2_C6_rgb.png,datos/sinteticos/mascaras/sheet_F3_L2_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F3_L2_C6_meta.json,2100,2970,3e960f9a69e6236cf088752c16324a09f964bc9fa61d08f6ebc959aabf1d31ad,67dfd4e0b1b829298724e90b12dcd9270efc20a2ecec60f1568cf1557733fb74,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C1,synthetic,val,F4,L1,C1,,datos/sinteticos/imagenes/sheet_F4_L1_C1_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C1_meta.json,2100,2970,ca986ce196465f15c98622ab5f20539045a2003d384a35d743bf6f25e86a7261,306d09c84bb05b3d70839f2d04bbd935690ac411dc429908384d87cd975507cc,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C2,synthetic,train,F4,L1,C2,,datos/sinteticos/imagenes/sheet_F4_L1_C2_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C2_meta.json,2100,2970,f6baa5ffe8b7bcb8cc5eca4b49a8ba27d1f9ac5f63adaabccbc8b62e887a1618,306d09c84bb05b3d70839f2d04bbd935690ac411dc429908384d87cd975507cc,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C3,synthetic,train,F4,L1,C3,,datos/sinteticos/imagenes/sheet_F4_L1_C3_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C3_meta.json,2100,2970,748363bca248e343fcac2a9d189e18739ba2c451243f4a22f5c86d9c3383f2cd,306d09c84bb05b3d70839f2d04bbd935690ac411dc429908384d87cd975507cc,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C4,synthetic,test,F4,L1,C4,,datos/sinteticos/imagenes/sheet_F4_L1_C4_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C4_meta.json,2100,2970,9cbae6b55590206cbfd21a070017fae8df7b143a407c1607f779232fd295dc5b,306d09c84bb05b3d70839f2d04bbd935690ac411dc429908384d87cd975507cc,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C5,synthetic,train,F4,L1,C5,,datos/sinteticos/imagenes/sheet_F4_L1_C5_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C5_meta.json,2100,2970,6cf2981e5a9a4504347082e60834bb505437494681ab8758aedc229c6d1b52fd,306d09c84bb05b3d70839f2d04bbd935690ac411dc429908384d87cd975507cc,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L1_C6,synthetic,train,F4,L1,C6,,datos/sinteticos/imagenes/sheet_F4_L1_C6_rgb.png,datos/sinteticos/mascaras/sheet_F4_L1_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L1_C6_meta.json,2100,2970,74f864f517fade7014864927fa2a822bad3636a1f85b4c283aa321d864223cf5,1a3e3d31d76284803fe46a1b2d645fb69a1cebccd984b027b8bf2a0cafcb5368,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C1,synthetic,train,F4,L2,C1,,datos/sinteticos/imagenes/sheet_F4_L2_C1_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C1_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C1_meta.json,2100,2970,64c152277bc314a5f2d3dcceb6947cfd1ab3d0c9114fcddf9a0f23ea46afa58c,682d0018956b9ac9cdfdec40f5a58c58fdbdd8f06828d2730ab88d46f4532d83,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C2,synthetic,val,F4,L2,C2,,datos/sinteticos/imagenes/sheet_F4_L2_C2_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C2_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C2_meta.json,2100,2970,afe344782531b2acc97042ba34d651f6435b50a49aca1bb782b2737211e2a2bf,682d0018956b9ac9cdfdec40f5a58c58fdbdd8f06828d2730ab88d46f4532d83,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C3,synthetic,train,F4,L2,C3,,datos/sinteticos/imagenes/sheet_F4_L2_C3_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C3_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C3_meta.json,2100,2970,b6b836b6b859e99d65f2ef9055b38c7fa71816abdff192a1f7990a90622da794,682d0018956b9ac9cdfdec40f5a58c58fdbdd8f06828d2730ab88d46f4532d83,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C4,synthetic,train,F4,L2,C4,,datos/sinteticos/imagenes/sheet_F4_L2_C4_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C4_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C4_meta.json,2100,2970,c1babca9e3ca77cd7dd34336c9086a817079bca6dc3b31d23b9d365cd4cd5d69,682d0018956b9ac9cdfdec40f5a58c58fdbdd8f06828d2730ab88d46f4532d83,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C5,synthetic,train,F4,L2,C5,,datos/sinteticos/imagenes/sheet_F4_L2_C5_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C5_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C5_meta.json,2100,2970,5c3dda800a4ed55b633e8e417530edacfd54ec1d9c27e6c2c975a0b8d61c0451,682d0018956b9ac9cdfdec40f5a58c58fdbdd8f06828d2730ab88d46f4532d83,generator_ground_truth,Máscara producida por el generador sintético.
sheet_F4_L2_C6,synthetic,train,F4,L2,C6,,datos/sinteticos/imagenes/sheet_F4_L2_C6_rgb.png,datos/sinteticos/mascaras/sheet_F4_L2_C6_mask.png,,,datos/sinteticos/metadatos/sheet_F4_L2_C6_meta.json,2100,2970,c7b8eda78db08c7a3fdff33da56de4fe12f90c3b487775fe629b455c8f15c75b,8ce74d79caab38006b7b39db7cbf34a167c8ec879a6dde80a5e4fce2cd8fc36c,generator_ground_truth,Máscara producida por el generador sintético.
real_13,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/13.jpg,datos/reales/rectificadas/rectified_13.png,datos/anotaciones/real_ground_truth/real_13_gt.png,datos/reales/referencias_clasicas/13_mask.png,datos/reales/prompts_legacy/real_13_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,f941659a47182bafded3c0b52a3c72d5cb29d12b2b7743148c3ff4529fafc36d,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
real_15,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/15.jpg,datos/reales/rectificadas/rectified_15.png,datos/anotaciones/real_ground_truth/real_15_gt.png,datos/reales/referencias_clasicas/15_mask.png,datos/reales/prompts_legacy/real_15_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,076807cad4faf0b3c121ade9d8ee60b0b827e3c387eb1ec21a2f0615bcd3ea78,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
real_17,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/17.jpg,datos/reales/rectificadas/rectified_17.png,datos/anotaciones/real_ground_truth/real_17_gt.png,datos/reales/referencias_clasicas/17_mask.png,datos/reales/prompts_legacy/real_17_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,5dafafe50855d70ba5f18b937a28e0db0ac14d296c6feaa4be90981a9bed471f,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
real_20,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/20.jpg,datos/reales/rectificadas/rectified_20.png,datos/anotaciones/real_ground_truth/real_20_gt.png,datos/reales/referencias_clasicas/20_mask.png,datos/reales/prompts_legacy/real_20_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,4da9fa125dc99c7085a07bdce8faeecd72baa34d3b17cd9d0c94fb4f83bde2d0,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
real_22,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/22.jpg,datos/reales/rectificadas/rectified_22.png,datos/anotaciones/real_ground_truth/real_22_gt.png,datos/reales/referencias_clasicas/22_mask.png,datos/reales/prompts_legacy/real_22_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,9314f66228071d6bdf342ca951be2ec8094d9c37ba529766005ce7f2dd8217b7,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
real_24,real,real_evaluation,production,L1,uncontrolled_capture,datos/reales/raw/24.jpg,datos/reales/rectificadas/rectified_24.png,datos/anotaciones/real_ground_truth/real_24_gt.png,datos/reales/referencias_clasicas/24_mask.png,datos/reales/prompts_legacy/real_24_prompts.json,datos/anotaciones/referencia_real_canonica/metadata.json,2100,2970,ddb02dd032c0d53e55e27f2f0d38e1665df4a0098486cf9c60f2a49c05f75164,325d6b318809ae98e6b8e859063fa1f154788e520099fb2fa9be551edfa1d614,assisted_visual_qc_complete,Referencia canónica común porque las 13 capturas corresponden a la misma lámina rectificada. La salida clásica no se usa como verdad terreno.
